ID,name,lat,lon,location,marketcap,EVSales
,Bartoletti-Carter,30.5082551,-97.678896,"Round Rock, Texas",4170568,7.3
,"Armstrong, Casper and Larkin",39.0558235,-95.6890185,"Topeka, Kansas",737919,7.5
,"Hoppe, Mante and Wehner",30.080174,-94.1265562,"Beaumont, Texas",1395487,6.1
,"Bruen, Boyle and Ritchie",33.1506744,-96.8236116,"Frisco, Texas",1025100,4.4
,"Schuppe, Wilderman and Donnelly",42.7762015,-71.0772796,"Haverhill, Massachusetts",3408074,6.1
,Breitenberg Inc,37.7249296,-122.1560768,"San Leandro, California",2820288,1.8
,Swift-Roob,33.9898188,-117.7325848,"Chino Hills, California",3432892,3.4
,Little Inc,39.1404477,-121.6169108,"Yuba City, California",2589815,4.3
,"Treutel, Schmitt and Roberts",37.7799273,-121.9780153,"San Ramon, California",2529969,8.4
,"Wehner, Corkery and Kunze",41.394817,-73.4540111,"Danbury, Connecticut",3550010,7.7
,"Mraz, Jast and Lynch",39.7284944,-121.8374777,"Chico, California",3143777,7
,Kris-Bogisich,26.1003654,-80.3997748,"Weston, Florida",2111077,6.2
,"Pfannerstill, King and Muller",42.6064095,-83.1497751,"Troy, Michigan",1967697,3.1
,Jacobson-Osinski,33.7444613,-118.3870173,"Rancho Palos Verdes, California",903763,6
,Schmidt-Kessler,42.7369792,-84.4838654,"East Lansing, Michigan",2329346,1.8
,Hilpert-Goodwin,32.6789476,-115.4988834,"Calexico, California",1601958,6.6
,Durgan LLC,44.7677424,-93.2777226,"Burnsville, Minnesota",3101492,1.6
,"Abernathy, Gleason and White",34.0805651,-118.072846,"Rosemead, California",1667828,5.6
,Ondricka-Hamill,41.3164856,-73.0931641,"Shelton, Connecticut",2591191,5.6
,"Kerluke, Tillman and Tromp",44.7973962,-93.5272861,"Shakopee, Minnesota",1574019,7.1
,Vandervort-Strosin,47.6739881,-122.121512,"Redmond, Washington",796401,5.4
,Parisian-Klocko,32.9628232,-117.0358646,"Poway, California",349599,7.9
,Boyle-Kuvalis,42.5348993,-92.4453161,"Cedar Falls, Iowa",2111916,3.9
,"Mohr, Nicolas and Little",41.6155909,-87.5294871,"Calumet City, Illinois",1864058,4.1
,Harber-Donnelly,44.9901194,-123.0262077,"Keizer, Oregon",2348474,3.8
,Emmerich LLC,48.0517637,-122.1770818,"Marysville, Washington",3617811,1.5
,Herman LLC,34.9889818,-90.0125913,"Southaven, Mississippi",2226405,8.5
,Marks Inc,37.931868,-121.6957863,"Brentwood, California",1093920,3.6
,Lindgren-Boyer,34.0555693,-117.1825381,"Redlands, California",2810940,1.3
,"Parker, Ankunding and Kassulke",40.9114882,-73.7823549,"New Rochelle, New York",886575,7.1
,"Brakus, Walker and Tromp",33.7825194,-117.2286478,"Perris, California",293630,8
,Batz-Zemlak,38.5449065,-121.7405167,"Davis, California",2174589,3.2
,"Von, Roberts and Schaden",34.0122346,-117.688944,"Chino, California",3496018,7.6
,"Erdman, Jones and Leannon",46.7866719,-92.1004852,"Duluth, Minnesota",793457,7.5
,Lakin-Jacobs,34.0686208,-117.9389526,"West Covina, California",522202,2.7
,Lind-Wintheiser,35.4675602,-97.5164276,"Oklahoma City, Oklahoma",2093825,4.5
,Howell Inc,37.9577016,-121.2907796,"Stockton, California",1906750,3.4
,Miller Inc,33.7455731,-117.8678338,"Santa Ana, California",686655,5.8
,"Boyle, Emmerich and Smitham",30.3321838,-81.655651,"Jacksonville, Florida",4029479,1.7
,Stracke Inc,39.7817213,-89.6501481,"Springfield, Illinois",4152994,1.7
,Spencer-Crist,34.0633443,-117.6508876,"Ontario, California",3073208,6.9
,Rosenbaum LLC,38.1040864,-122.2566367,"Vallejo, California",2841282,8.5
,Bosco-Gleason,41.49932,-81.6943605,"Cleveland, Ohio",3287124,3.4
,Deckow-Marvin,39.3642834,-74.4229266,"Atlantic City, New Jersey",592411,1.3
,"Brown, Stark and Mraz",35.0867577,-89.8100858,"Germantown, Tennessee",1952335,7.2
,Mante-Littel,27.8428025,-82.6995443,"Pinellas Park, Florida",2886629,8.4
,Grimes Inc,37.2871651,-121.9499568,"Campbell, California",3213181,4.8
,Green Inc,33.9172357,-118.0120086,"La Mirada, California",4160470,3.8
,"Luettgen, Block and McLaughlin",41.9994722,-88.1450735,"Hanover Park, Illinois",2546658,4
,Hirthe-Hansen,26.339806,-81.7786972,"Bonita Springs, Florida",3070745,1.1
,Dickens-Crist,32.3909071,-110.966488,"Oro Valley, Arizona",2444167,8.6
,"Emard, Pacocha and Larson",45.6769979,-111.0429339,"Bozeman, Montana",2292716,4.9
,Daniel-Corwin,35.9828412,-86.5186045,"Smyrna, Tennessee",427374,5.2
,"Cremin, Bednar and Ryan",34.9495672,-81.9320482,"Spartanburg, South Carolina",2416236,7.1
,"Nitzsche, Schaden and Heller",31.3271189,-89.2903392,"Hattiesburg, Mississippi",746828,4.3
,Leuschke Group,39.1434406,-77.2013705,"Gaithersburg, Maryland",1917478,9.3
,Balistreri-Stehr,45.0724642,-93.4557877,"Maple Grove, Minnesota",3430845,1.8
,Mueller-Zemlak,41.0339862,-73.7629097,"White Plains, New York",1589074,2.3
,Brakus LLC,42.0333607,-88.0834059,"Schaumburg, Illinois",3630932,7.1
,"Stoltenberg, Armstrong and Walker",47.6814875,-122.2087353,"Kirkland, Washington",3931446,8.9
,Brakus-Brown,41.408969,-75.6624122,"Scranton, Pennsylvania",1653145,8.2
,Kerluke Group,42.4894801,-83.1446485,"Royal Oak, Michigan",576485,6.8
,Hane-Johnston,43.4916514,-112.0339645,"Idaho Falls, Idaho",4184832,8.1
,Sipes-Leannon,46.8787176,-113.996586,"Missoula, Montana",796867,6.1
,"Lockman, Roberts and Ortiz",32.9029017,-96.56388,"Rowlett, Texas",3531762,3.2
,Dietrich and Sons,33.7091847,-117.9536697,"Fountain Valley, California",1347113,3.3
,Kautzer-Wintheiser,25.9331488,-80.1625463,"North Miami Beach, Florida",3323418,5.2
,Greenholt Group,39.843947,-84.1246608,"Huber Heights, Ohio",928760,8
,Pfeffer LLC,42.7653662,-71.467566,"Nashua, New Hampshire",747915,2
,Lynch LLC,47.610377,-122.2006786,"Bellevue, Washington",2586254,5.1
,Schaden-McGlynn,36.8252277,-119.7029194,"Clovis, California",1927829,2.6
,Jast-Gottlieb,33.2000368,-117.2425355,"Vista, California",2529472,5.3
,Schaefer LLC,39.114053,-94.6274636,"Kansas City, Kansas",3002463,8.6
,"Stracke, Kuhlman and Dibbert",40.9312099,-73.8987469,"Yonkers, New York",2870863,5.5
,Prosacco-Hettinger,35.2225668,-97.4394777,"Norman, Oklahoma",955208,2.2
,Bins-Rempel,29.5635666,-95.2860474,"Pearland, Texas",309840,1.7
,Lemke-Baumbach,42.5144566,-83.0146526,"Warren, Michigan",1575261,3.7
,"Rau, Kuvalis and Shanahan",32.8406946,-83.6324022,"Macon, Georgia",4313479,7.3
,Kub-Tremblay,33.9424658,-117.2296717,"Moreno Valley, California",4120854,6
,Feest-Breitenberg,42.3736158,-71.1097335,"Cambridge, Massachusetts",3988237,3.4
,Windler-Jacobson,40.4862157,-74.4518188,"New Brunswick, New Jersey",2474863,7.8
,Gaylord-Fay,38.7521235,-121.2880059,"Roseville, California",2580506,2
,"Hilpert, Lockman and Mayer",40.5067723,-74.2654234,"Perth Amboy, New Jersey",2796244,7.7
,Bednar-Hodkiewicz,44.9211836,-93.4687489,"Minnetonka, Minnesota",1976865,7.2
,OHara Inc,34.1397292,-118.0353449,"Arcadia, California",2957888,1.5
,Hudson Group,33.3942655,-104.5230242,"Roswell, New Mexico",1983943,2.8
,Lakin-Bogisich,39.6895036,-84.1688274,"Kettering, Ohio",500588,2
,"Kuhlman, Kon and Jenkins",40.5246711,-111.8638226,"Draper, Utah",1663272,7.7
,"Wehner, Bogisich and Bartoletti",42.2625932,-71.8022934,"Worcester, Massachusetts",489450,8.8
,Kunze Inc,34.0007104,-81.0348144,"Columbia, South Carolina",840706,7
,"Parisian, Anderson and Barton",32.3668052,-86.2999689,"Montgomery, Alabama",2023062,2.7
,Feil Inc,36.8507689,-76.2858726,"Norfolk, Virginia",2274865,6.2
,OKeefe-Corkery,39.1031182,-84.5120196,"Cincinnati, Ohio",2607981,7.2
,Muller Group,33.3528264,-111.789027,"Gilbert, Arizona",680007,6
,Stoltenberg Group,44.0520691,-123.0867536,"Eugene, Oregon",4057938,8.4
,Wehner-Kunde,33.4151843,-111.8314724,"Mesa, Arizona",3805081,4.6
,Mueller-Walker,41.0814447,-81.5190053,"Akron, Ohio",369803,1.7
,Simonis and Sons,38.0293059,-78.4766781,"Charlottesville, Virginia",826837,4.3
,Torp-Walsh,42.5278731,-70.9286609,"Peabody, Massachusetts",514315,7.8
,"Zieme, Connelly and Gutkowski",35.042036,-89.6645266,"Collierville, Tennessee",3539137,4.9
,Harvey-Oberbrunner,40.9263957,-98.3420118,"Grand Island, Nebraska",1038625,2.3
,Jacobs-Robel,39.3722121,-104.8560902,"Castle Rock, Colorado",3222350,1.3
,Schuster-Bogan,40.5186809,-78.3947359,"Altoona, Pennsylvania",1475852,5
,Heller LLC,40.7062128,-73.6187397,"Hempstead, New York",1874426,8.6
,Bauch Group,34.0739016,-117.3136547,"Colton, California",3243092,2.4
,Watsica-Hagenes,25.72149,-80.2683838,"Coral Gables, Florida",673801,1
,Watsica LLC,41.7369803,-111.8338359,"Logan, Utah",3532949,5.8
,Mante-Marks,42.5834228,-71.8022955,"Fitchburg, Massachusetts",3123178,8.4
,Lakin-Quigley,38.5767017,-92.1735164,"Jefferson City, Missouri",2586742,1.8
,Homenick-Lubowitz,37.3058839,-89.5181476,"Cape Girardeau, Missouri",4106520,8.1
,"Vandervort, Klein and Ernser",42.2505943,-83.1785361,"Lincoln Park, Michigan",2897024,7.9
,Crona-Sauer,42.4792618,-71.1522765,"Woburn, Massachusetts",1319257,8.6
,Little-Kessler,39.6417629,-77.7199932,"Hagerstown, Maryland",2867817,9.3
,Rempel-Jaskolski,28.6122187,-80.8075537,"Titusville, Florida",3882374,6.8
,Gulgowski-Watsica,40.6084305,-75.4901833,"Allentown, Pennsylvania",843987,1.5
,Walker-Sanford,41.5581525,-73.0514965,"Waterbury, Connecticut",1963025,6.9
,Reynolds Group,33.9791793,-118.032844,"Whittier, California",346472,8.9
,Corkery Group,39.9259463,-75.1196199,"Camden, New Jersey",3921184,3.2
,Jacobson Inc,42.1292241,-80.085059,"Erie, Pennsylvania",540259,1.9
,Huels Inc,37.2709704,-79.9414266,"Roanoke, Virginia",768128,3
,Ernser LLC,37.0965278,-113.5684164,"St. George, Utah",2389316,3.2
,"Eichmann, Stokes and Hickle",26.3017374,-98.1633432,"Edinburg, TX",2897515,1.2
